categoria_principal,shop,amenity,office,tourism,leisure,craft,healthcare,name,addr:street,addr:housenumber,lat,lon,tipo_actividad
tourism,,,,hotel,,,,Hotel Constanza,Carrer del Bruc,33,41.3915708,2.172939,hotel
tourism,,,,information,,,,Camp de la Bota,,,41.4114383,2.2184692,information
tourism,,,,information,,,,Horta-Guinardó,,,41.4137971,2.1711062,information
tourism,,,,information,,,,Horta-Guinardó,,,41.4187885,2.1762285,information
tourism,,,,information,,,,Sant Martí,,,41.403483,2.2029239,information
tourism,,,,artwork,,,,Totem I,,,41.4054,2.1356909,artwork
tourism,,,,artwork,,,,Federació fe Colles de Sant Medir,,,41.403605,2.1524112,artwork
tourism,,,,artwork,,,,Trentè aniversari del Consell Assesor de la Gent Gran de Barcelona,,,41.4141351,2.1866016,artwork
tourism,,,,apartment,,,,Deco Apartments,Avinguda Diagonal,506,41.3954407,2.1538866,apartment
tourism,,,,information,,,,Espais patrimonials,,,41.4161508,2.1708277,information
tourism,,,,information,,,,Hàbitats del parc,,,41.4154572,2.1695962,information
tourism,,,,information,,,,Palau de Mar,,,41.3811232,2.1857983,information
tourism,,,,information,,,,Cementiri del Poblenou,,,41.3952738,2.2018578,information
tourism,,,,artwork,,,,La Lluna.,,,41.3956588,2.1586521,artwork
tourism,,,,artwork,,,,Selene,,,41.4083675,2.1488379,artwork
tourism,,,,viewpoint,,,,Mirador Torre Glòries,,,41.4035199,2.1895186,viewpoint
tourism,,,,information,,,,Els arbres útils,,,41.3865216,2.1633908,information
tourism,,,,information,,,,Les plantes amb flors més primitives,,,41.3866257,2.1626188,information
tourism,,,,information,,,,Arbres de ciutat,,,41.3868097,2.1626041,information
tourism,,,,information,,,,El món en un racó,,,41.3870559,2.163055,information
tourism,,,,information,,,,Els arbres Mediterranis,,,41.3873208,2.1633425,information
tourism,,,,information,,,,L'Esperit del jardí,,,41.3870194,2.16336,information
tourism,,,,hotel,,,,Hotel BestPrice Diagonal,,,41.4097579,2.2098626,hotel
tourism,,,,hotel,,,,HO Casa Mimosa,,,41.3961679,2.1623261,hotel
tourism,,,,hotel,,,,Sensation authentic gracia,Travessera de Gràcia,343,41.4074419,2.1673153,hotel
tourism,,,,information,,,,"Males herbes ""sospitosos habituals""",,,41.3874853,2.1633831,information
tourism,,,,information,,,,Jardí Botànic Històric,,,41.3672907,2.1529003,information
tourism,,,,information,,,,Jardí Botànic Històric,,,41.3671929,2.1528302,information
tourism,,,,information,,,,Freixe americà,,,41.3671296,2.151661,information
tourism,,,,information,,,,Noguera alada de Rehder,,,41.3671691,2.1519092,information
tourism,,,,information,,,,Canforer,,,41.3671514,2.1533964,information
tourism,,,,museum,,,,Moco museum,Carrer de Montcada,25,41.3847271,2.1815639,museum
tourism,,,,hostel,,,,Ideal Sants,Carrer de Berlín,58,41.3840234,2.1407756,hostel
tourism,,,,viewpoint,,,,Mirador Vela,,,41.3692271,2.191118,viewpoint
tourism,,,,information,,,,BlackHill,,,41.4108449,2.1529335,information
tourism,,,,information,,,,360° El Terrat,,,41.375683,2.1493028,information
tourism,,,,information,,,,Informació,,,41.3758935,2.1494,information
tourism,,,,artwork,,,,Miliu,,,41.4027809,2.173734,artwork
tourism,,,,information,,,,Jardins de Rubio i Lluch,,,41.3813518,2.1694911,information
tourism,,,,artwork,,,,Monument a Àngel Guimerà,,,41.3825047,2.1742062,artwork
tourism,,,,information,,,,Església de la Mare de Déu de Betlem,,,41.3829108,2.1713665,information
tourism,,,,information,,,,Umbracle,,,41.3869249,2.1849443,information
tourism,,,,information,,,,L'hivernacle,,,41.3877361,2.1837175,information
tourism,,,,artwork,,,,"Lliures, feministes, i rebels. mural",,,41.3841509,2.1790543,artwork
tourism,,,,information,,,,Església de Santa Maria de Montalegre de Barcelona,,,41.3839858,2.1658737,information
tourism,,,,information,,,,Parc Esportiu Urbá Ciutadella,,,41.3855222,2.1862372,information
tourism,,,,artwork,,,,Higrometre,,,41.3863404,2.1859362,artwork
tourism,,,,information,,,,Mamut,,,41.3890506,2.187068,information
tourism,,,,information,,,,Parc de la Ciutadella,,,41.3888152,2.1835111,information
tourism,,,,information,,,,Parc de la Ciutadella,,,41.3858521,2.1859357,information
tourism,,,,information,,,,Monument a Ròmul Bosch i Alsina,,,41.3759171,2.1787223,information
tourism,,,,information,,,,La Parella The couple Statue,,,41.3774366,2.1804851,information
tourism,,,,information,,,,Monument a Joan Salvat Papasseit,,,41.3764232,2.1796651,information
tourism,,,,information,,,,Espai de Mar,,,41.3809436,2.193574,information
tourism,,,,information,,,,Platja del Somorrostro,,,41.3846352,2.1960728,information
tourism,,,,information,,,,Navas,,,41.4189076,2.1845194,information
tourism,,,,information,,,,Navas,,,41.4158433,2.187146,information
tourism,,,,information,,,,Congrés-Indians,,,41.4231232,2.1835299,information
tourism,,,,information,,,,Menu Saluka,,,41.3759439,2.1494958,information
tourism,,,,artwork,,,,Mural de Pilarin Bayes,,,41.3815381,2.1259397,artwork
tourism,,,,hotel,,,,Sixties Rambla,Passatge de Gutenberg,7,41.3768921,2.1747892,hotel
tourism,,,,artwork,,,,Sant Jordi,,,41.3956882,2.1574332,artwork
tourism,,,,information,,,,Parc de Sant Martí,,,41.419585,2.1990153,information
tourism,,,,information,,,,Parc de Sant Martí,,,41.4190082,2.1982437,information
tourism,,,,apartment,,,,Durlet Apartments,,,41.3991087,2.2072896,apartment
tourism,,,,apartment,,,,Urban District Apartments,,,41.3993125,2.2074318,apartment
tourism,,,,information,,,,Sant Martí,,,41.4111226,2.1922693,information
tourism,,,,information,,,,Jardins de la Rambla de Sants,,,41.3750139,2.1350238,information
tourism,,,,hotel,,,,Hitel Occidental Barcelona 1929,,,41.3752744,2.1479222,hotel
tourism,,,,information,,,,Hillary & Tenzing,,,41.4238875,2.1195218,information
tourism,,,,information,,,,Tibidabo,,,41.4215626,2.1193436,information
tourism,,,,viewpoint,,,,Mirador del Sagrat Cor,,,41.4218306,2.1189923,viewpoint
tourism,,,,gallery,,,,El Diluvio Universal,Carrer de les Guilleries,,41.4029838,2.1571136,gallery
tourism,,,,information,,,,Sant Martí,,,41.408748,2.1919356,information
tourism,,,,attraction,,,,Anfiteatre anatòmic segle XVIII,,,41.3815793,2.1694487,attraction
tourism,,,,artwork,,,,Il-lustre Col-legi de Graduats Socials de Barcelona,,,41.3920103,2.1530821,artwork
tourism,,,,gallery,,,,GaudiFond,Carrer de Beltrán i Rózpide,6,41.3891011,2.1216081,gallery
tourism,,,,hotel,,,,Residencia Militar Cristóbal Colón,Carrer del Portal de Santa Madrona,1,41.3764311,2.1763921,hotel
tourism,,,,artwork,,,,Tota la patria cabrà en una anella i els pobles diran: la sardana és la dansa més bella de totes les danses que es fan i es desfan,,,41.3664185,2.154484,artwork
tourism,,,,information,,,,Jardins de Laribal,,,41.3673581,2.1579456,information
tourism,,,,artwork,,,,Serena,,,41.367253,2.1549694,artwork
tourism,,,,artwork,,,,Cèrvols,,,41.3680792,2.1557464,artwork
tourism,,,,artwork,,,,Stele pour les droits de l'homme,,,41.3666707,2.1555624,artwork
tourism,,,,information,,,,Jardins de Laribal,,,41.3686368,2.1561933,information
tourism,,,,hotel,,,,Bonanova Park Hotel,Carrer del Capità Arenas,51,41.3930349,2.1247017,hotel
tourism,,,,information,,,,Jardins de Joan Maragall,,,41.3671094,2.1572285,information
tourism,,,,information,,,,Parc de Montjuïc,,,41.3686323,2.1562051,information
tourism,,,,information,,,,Mirador de Finestrelles,,,41.3870432,2.1037726,information
tourism,,,,guest_house,,,,Leo rams,,,41.3901109,2.1730559,guest_house
tourism,,,,hostel,,,,Onefam Les Corts Hostel Barcelona,Passatge del Regent Mendieta,5,41.3771879,2.1238292,hostel
tourism,,,,artwork,,,,Morgen,,,41.3706576,2.1498312,artwork
tourism,,,,information,,,,Fira Barcelona,,,41.3730111,2.1509581,information
tourism,,,,information,,,,Sant Martí,,,41.4075294,2.2042439,information
tourism,,,,artwork,,,,Bestial,,,41.38596,2.1976343,artwork
tourism,,,,artwork,,,,Monument a les il·lusions perdudes,,,41.4057428,2.1950483,artwork
tourism,,,,gallery,,,,Say Something Art Gallery,Carrer del Parc,1,41.3774426,2.1783856,gallery
tourism,,,,information,,,,Cementiri de Montjuïc,,,41.3530323,2.1514035,information
tourism,,,,artwork,,,,Façana del Naixement,,,41.4038348,2.1746713,artwork
tourism,,,,hotel,,,,HG City Suites,Via Augusta,89,41.4008224,2.1500431,hotel
tourism,,,,apartment,,,,Aparthotel Allada,Carrer d'Allada-Vermell,6-8,41.3869234,2.1806205,apartment
tourism,,,,information,,,,Itineraris marins Barcelona. Mar Bella. Nova Mar Bella,,,41.3992253,2.2119137,information
tourism,,,,information,,,,Façana Verda de Pallars,,,41.4048602,2.2025162,information
tourism,,,,attraction,,,,Casa Pia Batlló,,,41.3885425,2.1665052,attraction
tourism,,,,artwork,,,,Jarrón con niños,,,41.3881494,2.1840136,artwork
tourism,,,,artwork,,,,"Sant Joan Baptista, patró del gremi d'Assaonadors",,,41.3857195,2.1800618,artwork
tourism,,,,artwork,,,,Lluís Millà i Reig,,,41.3832445,2.1724625,artwork
tourism,,,,artwork,,,,Central Catalana d'Electricitat,,,41.3921647,2.1815789,artwork
tourism,,,,hostel,,,,Samy Home,,,41.3827359,2.1818974,hostel
tourism,,,,apartment,,,,Apartamentos Laumon,,,41.422915,2.1904419,apartment
tourism,,,,information,,,,Parc de l'Aqüeducte,,,41.4595142,2.1749599,information
tourism,,,,hotel,,,,Hostal Be Ramblas,,,41.3775051,2.1724749,hotel
tourism,,,,information,,,,Platja del Bogatell,Platja del Bogatell,28,41.3960611,2.208736,information
tourism,,,,information,,,,Parc del Poblenou,,,41.3962194,2.208151,information
tourism,,,,information,,,,Parc del Poblenou,,,41.3961702,2.2076914,information
tourism,,,,information,,,,Traça de Pere IV,,,41.4078508,2.2015875,information
tourism,,,,hotel,,,,Hotel Barbara,,,41.3777945,2.1715367,hotel
tourism,,,,artwork,,,,A Fray Pedro Ponce de León,,,41.4043786,2.1629928,artwork
tourism,,,,artwork,,,,Homenaje a Petra Kelly,,,41.3653933,2.1626206,artwork
tourism,,,,information,,,,Platja de Sant Sebastià,,,41.3723129,2.1892485,information
tourism,,,,information,,,,Platja del Bogatell,Platja del Bogatell,24,41.3921534,2.2047835,information
tourism,,,,information,,,,Platja de Sant Miquel,,,41.3764708,2.1908348,information
tourism,,,,information,,,,Platja de Sant Sebastià,,,41.3701656,2.1888889,information
tourism,,,,information,,,,Platja de Sant Sebastià,,,41.3711592,2.189053,information
tourism,,,,information,,,,Torre de Sant Sebastià,,,41.3731068,2.1879441,information
tourism,,,,information,,,,Platja de Sant Sebastià,,,41.3694384,2.1892635,information
tourism,,,,information,,,,Platja de Sant Miquel,,,41.3773532,2.1913989,information
tourism,,,,information,,,,Platja de Sant Sebastià,,,41.3729241,2.1893732,information
tourism,,,,information,,,,Platja de Sant Miquel,,,41.3747234,2.1901551,information
tourism,,,,information,,,,Platja de Sant Miquel,,,41.3755203,2.1903993,information
tourism,,,,information,,,,Platja de Sant Miquel,,,41.3782633,2.1920116,information
tourism,,,,information,,,,Platja de la Nova Icària,Platja de la Nova Icària,21,41.3907719,2.2020937,information
tourism,,,,information,,,,Platja de la Nova Icària,Platja de la Nova Icària,22,41.3909983,2.2027492,information
tourism,,,,information,,,,Platja de la Barceloneta,,,41.3812826,2.1938616,information
tourism,,,,information,,,,Platja de la Nova Icària,Platja de la Nova Icària,23,41.3912241,2.2033619,information
tourism,,,,information,,,,Platja de la Barceloneta,,,41.3793024,2.1926757,information
tourism,,,,information,,,,Platja de la Barceloneta,,,41.3802995,2.1932682,information
tourism,,,,information,,,,Platja de la Barceloneta,,,41.3824604,2.1946003,information
tourism,,,,information,,,,Platja del Somorrostro,,,41.3844934,2.1961347,information
tourism,,,,information,,,,Platja del Somorrostro,,,41.3854077,2.1973688,information
tourism,,,,information,,,,Platja de la Barceloneta,,,41.3832769,2.1951018,information
tourism,,,,information,,,,Platja del Somorrostro. estat de les platges,,,41.3840831,2.1956567,information
tourism,,,,information,,,,Platja del Somorrostro,,,41.3839971,2.1955518,information
tourism,,,,information,,,,Platja del Bogatell,Platja del Bogatell,26,41.3942139,2.2063178,information
tourism,,,,information,,,,Platja de la Nova Icària,Platja de la Nova Icària,20,41.3901921,2.2011078,information
tourism,,,,information,,,,Platja del Bogatell,Platja del Bogatell,25,41.3931588,2.2055434,information
tourism,,,,information,,,,Platja de la Nova Icària,Platja de la Nova Icària,19,41.3893696,2.2006254,information
tourism,,,,information,,,,Platja del Bogatell,Platja del Bogatell,27,41.3952158,2.207599,information
tourism,,,,information,,,,Cap de Barcelona,,,41.3809419,2.1824183,information
tourism,,,,gallery,,,,Lab Art Studio,,,41.3879728,2.1619569,gallery
tourism,,,,information,,,,Camí de Sant Jaume,,,41.438864,2.1488051,information
tourism,,,,artwork,,,,Artemisa,,,41.4401885,2.1453186,artwork
tourism,,,,artwork,,,,Dana,,,41.4405679,2.1456856,artwork
tourism,,,,artwork,,,,Relleu de marbre d'Ariadna i Teseu,,,41.4400276,2.1458113,artwork
tourism,,,,artwork,,,,Gruta de Eco,,,41.4403623,2.1455584,artwork
